day;region;team;elo
1;LEC;G2 Esports;
1;LEC;MAD Lions;
1;LEC;SK Gaming;
1;LEC;Team Vitality;
1;LEC;Rogue;
1;LEC;Misfits Gaming;
1;LEC;Excel Esports;
1;LEC;Schalke 04;
1;LEC;Fnatic;
1;LEC;Origen;
2;LEC;G2 Esports;
2;LEC;MAD Lions;
2;LEC;SK Gaming;
2;LEC;Team Vitality;
2;LEC;Rogue;
2;LEC;Misfits Gaming;
2;LEC;Excel Esports;
2;LEC;Schalke 04;
2;LEC;Fnatic;
2;LEC;Origen;
3;LEC;G2 Esports;
3;LEC;MAD Lions;
3;LEC;SK Gaming;
3;LEC;Team Vitality;
3;LEC;Rogue;
3;LEC;Misfits Gaming;
3;LEC;Excel Esports;
3;LEC;Schalke 04;
3;LEC;Fnatic;
3;LEC;Origen;
4;LEC;G2 Esports;
4;LEC;MAD Lions;
4;LEC;SK Gaming;
4;LEC;Team Vitality;
4;LEC;Rogue;
4;LEC;Misfits Gaming;
4;LEC;Excel Esports;
4;LEC;Schalke 04;
4;LEC;Fnatic;
4;LEC;Origen;
5;LEC;G2 Esports;
5;LEC;MAD Lions;
5;LEC;SK Gaming;
5;LEC;Team Vitality;
5;LEC;Rogue;
5;LEC;Misfits Gaming;
5;LEC;Excel Esports;
5;LEC;Schalke 04;
5;LEC;Fnatic;
5;LEC;Origen;
6;LEC;G2 Esports;
6;LEC;MAD Lions;
6;LEC;SK Gaming;
6;LEC;Team Vitality;
6;LEC;Rogue;
6;LEC;Misfits Gaming;
6;LEC;Excel Esports;
6;LEC;Schalke 04;
6;LEC;Fnatic;
6;LEC;Origen;
7;LEC;G2 Esports;
7;LEC;MAD Lions;
7;LEC;SK Gaming;
7;LEC;Team Vitality;
7;LEC;Rogue;
7;LEC;Misfits Gaming;
7;LEC;Excel Esports;
7;LEC;Schalke 04;
7;LEC;Fnatic;
7;LEC;Origen;
8;LEC;G2 Esports;
8;LEC;MAD Lions;
8;LEC;SK Gaming;
8;LEC;Team Vitality;
8;LEC;Rogue;
8;LEC;Misfits Gaming;
8;LEC;Excel Esports;
8;LEC;Schalke 04;
8;LEC;Fnatic;
8;LEC;Origen;
9;LEC;G2 Esports;
9;LEC;MAD Lions;
9;LEC;SK Gaming;
9;LEC;Team Vitality;
9;LEC;Rogue;
9;LEC;Misfits Gaming;
9;LEC;Excel Esports;
9;LEC;Schalke 04;
9;LEC;Fnatic;
9;LEC;Origen;
10;LEC;G2 Esports;
10;LEC;MAD Lions;
10;LEC;SK Gaming;
10;LEC;Team Vitality;
10;LEC;Rogue;
10;LEC;Misfits Gaming;
10;LEC;Excel Esports;
10;LEC;Schalke 04;
10;LEC;Fnatic;
10;LEC;Origen;
11;LEC;G2 Esports;
11;LEC;MAD Lions;
11;LEC;SK Gaming;
11;LEC;Team Vitality;
11;LEC;Rogue;
11;LEC;Misfits Gaming;
11;LEC;Excel Esports;
11;LEC;Schalke 04;
11;LEC;Fnatic;
11;LEC;Origen;
12;LEC;G2 Esports;
12;LEC;MAD Lions;
12;LEC;SK Gaming;
12;LEC;Team Vitality;
12;LEC;Rogue;
12;LEC;Misfits Gaming;
12;LEC;Excel Esports;
12;LEC;Schalke 04;
12;LEC;Fnatic;
12;LEC;Origen;
13;LEC;G2 Esports;
13;LEC;MAD Lions;
13;LEC;SK Gaming;
13;LEC;Team Vitality;
13;LEC;Rogue;
13;LEC;Misfits Gaming;
13;LEC;Excel Esports;
13;LEC;Schalke 04;
13;LEC;Fnatic;
13;LEC;Origen;
14;LEC;G2 Esports;
14;LEC;MAD Lions;
14;LEC;SK Gaming;
14;LEC;Team Vitality;
14;LEC;Rogue;
14;LEC;Misfits Gaming;
14;LEC;Excel Esports;
14;LEC;Schalke 04;
14;LEC;Fnatic;
14;LEC;Origen;
15;LEC;G2 Esports;
15;LEC;MAD Lions;
15;LEC;SK Gaming;
15;LEC;Team Vitality;
15;LEC;Rogue;
15;LEC;Misfits Gaming;
15;LEC;Excel Esports;
15;LEC;Schalke 04;
15;LEC;Fnatic;
15;LEC;Origen;
16;LEC;G2 Esports;
16;LEC;MAD Lions;
16;LEC;SK Gaming;
16;LEC;Team Vitality;
16;LEC;Rogue;
16;LEC;Misfits Gaming;
16;LEC;Excel Esports;
16;LEC;Schalke 04;
16;LEC;Fnatic;
16;LEC;Origen;
17;LEC;G2 Esports;
17;LEC;MAD Lions;
17;LEC;SK Gaming;
17;LEC;Team Vitality;
17;LEC;Rogue;
17;LEC;Misfits Gaming;
17;LEC;Excel Esports;
17;LEC;Schalke 04;
17;LEC;Fnatic;
17;LEC;Origen;
18;LEC;G2 Esports;
18;LEC;MAD Lions;
18;LEC;SK Gaming;
18;LEC;Team Vitality;
18;LEC;Rogue;
18;LEC;Misfits Gaming;
18;LEC;Excel Esports;
18;LEC;Schalke 04;
18;LEC;Fnatic;
18;LEC;Origen;
19;LEC;G2 Esports;
19;LEC;MAD Lions;
19;LEC;SK Gaming;
19;LEC;Team Vitality;
19;LEC;Rogue;
19;LEC;Misfits Gaming;
19;LEC;Excel Esports;
19;LEC;Schalke 04;
19;LEC;Fnatic;
19;LEC;Origen;
20;LEC;G2 Esports;
20;LEC;MAD Lions;
20;LEC;SK Gaming;
20;LEC;Team Vitality;
20;LEC;Rogue;
20;LEC;Misfits Gaming;
20;LEC;Excel Esports;
20;LEC;Schalke 04;
20;LEC;Fnatic;
20;LEC;Origen;
21;LEC;G2 Esports;
21;LEC;MAD Lions;
21;LEC;SK Gaming;
21;LEC;Team Vitality;
21;LEC;Rogue;
21;LEC;Misfits Gaming;
21;LEC;Excel Esports;
21;LEC;Schalke 04;
21;LEC;Fnatic;
21;LEC;Origen;
22;LEC;G2 Esports;
22;LEC;MAD Lions;
22;LEC;SK Gaming;
22;LEC;Team Vitality;
22;LEC;Rogue;
22;LEC;Misfits Gaming;
22;LEC;Excel Esports;
22;LEC;Schalke 04;
22;LEC;Fnatic;
22;LEC;Origen;
23;LEC;G2 Esports;
23;LEC;MAD Lions;
23;LEC;SK Gaming;
23;LEC;Team Vitality;
23;LEC;Rogue;
23;LEC;Misfits Gaming;
23;LEC;Excel Esports;
23;LEC;Schalke 04;
23;LEC;Fnatic;
23;LEC;Origen;
24;LEC;G2 Esports;2625.0
24;LEC;MAD Lions;2575.0
24;LEC;SK Gaming;2625.0
24;LEC;Team Vitality;2575.0
24;LEC;Rogue;2625.0
24;LEC;Misfits Gaming;2575.0
24;LEC;Excel Esports;2625.0
24;LEC;Schalke 04;2575.0
24;LEC;Fnatic;2575.0
24;LEC;Origen;2625.0
25;LEC;G2 Esports;2650.0
25;LEC;MAD Lions;2600.0
25;LEC;SK Gaming;2600.0
25;LEC;Team Vitality;2550.0
25;LEC;Rogue;2650.0
25;LEC;Misfits Gaming;2550.0
25;LEC;Excel Esports;2600.0
25;LEC;Schalke 04;2553.6
25;LEC;Fnatic;2600.0
25;LEC;Origen;2646.4
26;LEC;G2 Esports;2650.0
26;LEC;MAD Lions;2600.0
26;LEC;SK Gaming;2600.0
26;LEC;Team Vitality;2550.0
26;LEC;Rogue;2650.0
26;LEC;Misfits Gaming;2550.0
26;LEC;Excel Esports;2600.0
26;LEC;Schalke 04;2553.6
26;LEC;Fnatic;2600.0
26;LEC;Origen;2646.4
27;LEC;G2 Esports;2650.0
27;LEC;MAD Lions;2600.0
27;LEC;SK Gaming;2600.0
27;LEC;Team Vitality;2550.0
27;LEC;Rogue;2650.0
27;LEC;Misfits Gaming;2550.0
27;LEC;Excel Esports;2600.0
27;LEC;Schalke 04;2553.6
27;LEC;Fnatic;2600.0
27;LEC;Origen;2646.4
28;LEC;G2 Esports;2650.0
28;LEC;MAD Lions;2600.0
28;LEC;SK Gaming;2600.0
28;LEC;Team Vitality;2550.0
28;LEC;Rogue;2650.0
28;LEC;Misfits Gaming;2550.0
28;LEC;Excel Esports;2600.0
28;LEC;Schalke 04;2553.6
28;LEC;Fnatic;2600.0
28;LEC;Origen;2646.4
29;LEC;G2 Esports;2650.0
29;LEC;MAD Lions;2600.0
29;LEC;SK Gaming;2600.0
29;LEC;Team Vitality;2550.0
29;LEC;Rogue;2650.0
29;LEC;Misfits Gaming;2550.0
29;LEC;Excel Esports;2600.0
29;LEC;Schalke 04;2553.6
29;LEC;Fnatic;2600.0
29;LEC;Origen;2646.4
30;LEC;G2 Esports;2650.0
30;LEC;MAD Lions;2600.0
30;LEC;SK Gaming;2600.0
30;LEC;Team Vitality;2550.0
30;LEC;Rogue;2650.0
30;LEC;Misfits Gaming;2550.0
30;LEC;Excel Esports;2600.0
30;LEC;Schalke 04;2553.6
30;LEC;Fnatic;2600.0
30;LEC;Origen;2646.4
31;LEC;G2 Esports;2668.0
31;LEC;MAD Lions;2575.0
31;LEC;SK Gaming;2571.4
31;LEC;Team Vitality;2532.0
31;LEC;Rogue;2624.7
31;LEC;Misfits Gaming;2578.6
31;LEC;Excel Esports;2625.0
31;LEC;Schalke 04;2531.9
31;LEC;Fnatic;2621.7
31;LEC;Origen;2671.7
32;LEC;G2 Esports;2693.3
32;LEC;MAD Lions;2596.9
32;LEC;SK Gaming;2550.0
32;LEC;Team Vitality;2513.5
32;LEC;Rogue;2643.2
32;LEC;Misfits Gaming;2606.9
32;LEC;Excel Esports;2596.7
32;LEC;Schalke 04;2510.0
32;LEC;Fnatic;2643.1
32;LEC;Origen;2646.4
33;LEC;G2 Esports;2693.3
33;LEC;MAD Lions;2596.9
33;LEC;SK Gaming;2550.0
33;LEC;Team Vitality;2513.5
33;LEC;Rogue;2643.2
33;LEC;Misfits Gaming;2606.9
33;LEC;Excel Esports;2596.7
33;LEC;Schalke 04;2510.0
33;LEC;Fnatic;2643.1
33;LEC;Origen;2646.4
34;LEC;G2 Esports;2693.3
34;LEC;MAD Lions;2596.9
34;LEC;SK Gaming;2550.0
34;LEC;Team Vitality;2513.5
34;LEC;Rogue;2643.2
34;LEC;Misfits Gaming;2606.9
34;LEC;Excel Esports;2596.7
34;LEC;Schalke 04;2510.0
34;LEC;Fnatic;2643.1
34;LEC;Origen;2646.4
35;LEC;G2 Esports;2693.3
35;LEC;MAD Lions;2596.9
35;LEC;SK Gaming;2550.0
35;LEC;Team Vitality;2513.5
35;LEC;Rogue;2643.2
35;LEC;Misfits Gaming;2606.9
35;LEC;Excel Esports;2596.7
35;LEC;Schalke 04;2510.0
35;LEC;Fnatic;2643.1
35;LEC;Origen;2646.4
36;LEC;G2 Esports;2693.3
36;LEC;MAD Lions;2596.9
36;LEC;SK Gaming;2550.0
36;LEC;Team Vitality;2513.5
36;LEC;Rogue;2643.2
36;LEC;Misfits Gaming;2606.9
36;LEC;Excel Esports;2596.7
36;LEC;Schalke 04;2510.0
36;LEC;Fnatic;2643.1
36;LEC;Origen;2646.4
37;LEC;G2 Esports;2693.3
37;LEC;MAD Lions;2596.9
37;LEC;SK Gaming;2550.0
37;LEC;Team Vitality;2513.5
37;LEC;Rogue;2643.2
37;LEC;Misfits Gaming;2606.9
37;LEC;Excel Esports;2596.7
37;LEC;Schalke 04;2510.0
37;LEC;Fnatic;2643.1
37;LEC;Origen;2646.4
38;LEC;G2 Esports;2714.7
38;LEC;MAD Lions;2618.5
38;LEC;SK Gaming;2528.4
38;LEC;Team Vitality;2497.6
38;LEC;Rogue;2621.8
38;LEC;Misfits Gaming;2625.1
38;LEC;Excel Esports;2575.0
38;LEC;Schalke 04;2491.8
38;LEC;Fnatic;2664.8
38;LEC;Origen;2662.3
39;LEC;G2 Esports;2736.1
39;LEC;MAD Lions;2643.7
39;LEC;SK Gaming;2550.8
39;LEC;Team Vitality;2478.1
39;LEC;Rogue;2596.6
39;LEC;Misfits Gaming;2652.8
39;LEC;Excel Esports;2594.5
39;LEC;Schalke 04;2469.4
39;LEC;Fnatic;2643.4
39;LEC;Origen;2634.6
40;LEC;G2 Esports;2736.1
40;LEC;MAD Lions;2643.7
40;LEC;SK Gaming;2550.8
40;LEC;Team Vitality;2478.1
40;LEC;Rogue;2596.6
40;LEC;Misfits Gaming;2652.8
40;LEC;Excel Esports;2594.5
40;LEC;Schalke 04;2469.4
40;LEC;Fnatic;2643.4
40;LEC;Origen;2634.6
41;LEC;G2 Esports;2736.1
41;LEC;MAD Lions;2643.7
41;LEC;SK Gaming;2550.8
41;LEC;Team Vitality;2478.1
41;LEC;Rogue;2596.6
41;LEC;Misfits Gaming;2652.8
41;LEC;Excel Esports;2594.5
41;LEC;Schalke 04;2469.4
41;LEC;Fnatic;2643.4
41;LEC;Origen;2634.6
42;LEC;G2 Esports;2736.1
42;LEC;MAD Lions;2643.7
42;LEC;SK Gaming;2550.8
42;LEC;Team Vitality;2478.1
42;LEC;Rogue;2596.6
42;LEC;Misfits Gaming;2652.8
42;LEC;Excel Esports;2594.5
42;LEC;Schalke 04;2469.4
42;LEC;Fnatic;2643.4
42;LEC;Origen;2634.6
43;LEC;G2 Esports;2736.1
43;LEC;MAD Lions;2643.7
43;LEC;SK Gaming;2550.8
43;LEC;Team Vitality;2478.1
43;LEC;Rogue;2596.6
43;LEC;Misfits Gaming;2652.8
43;LEC;Excel Esports;2594.5
43;LEC;Schalke 04;2469.4
43;LEC;Fnatic;2643.4
43;LEC;Origen;2634.6
44;LEC;G2 Esports;2736.1
44;LEC;MAD Lions;2643.7
44;LEC;SK Gaming;2550.8
44;LEC;Team Vitality;2478.1
44;LEC;Rogue;2596.6
44;LEC;Misfits Gaming;2652.8
44;LEC;Excel Esports;2594.5
44;LEC;Schalke 04;2469.4
44;LEC;Fnatic;2643.4
44;LEC;Origen;2634.6
45;LEC;G2 Esports;2705.2
45;LEC;MAD Lions;2618.0
45;LEC;SK Gaming;2528.9
45;LEC;Team Vitality;2464.2
45;LEC;Rogue;2612.8
45;LEC;Misfits Gaming;2683.7
45;LEC;Excel Esports;2616.4
45;LEC;Schalke 04;2453.2
45;LEC;Fnatic;2657.3
45;LEC;Origen;2660.3
